date,weth,tempH,tempL
2017/1/1,快晴,13.8,2
2017/1/2,晴一時曇,13.3,3.8
2017/1/3,快晴,13.7,3.5
2017/1/4,快晴,14,3.6
2017/1/5,快晴,10.4,3.7
2017/1/6,晴一時薄曇,8.8,1.5
2017/1/7,晴,8.7,0.1
2017/1/8,曇時々雨,6,1.6
2017/1/9,雨後晴,11.1,3.8
2017/1/10,快晴,12.7,3.5
2017/1/11,快晴,11,3.9
2017/1/12,晴,12.1,0.7
2017/1/13,晴後一時曇,12.7,1.4
2017/1/14,曇時々晴後一時雪,6.3,-1.3
2017/1/15,晴,4.7,-2.3
2017/1/16,快晴,8,-2
2017/1/17,快晴,10.9,0.7
2017/1/18,晴後時々薄曇,10.3,1.1
2017/1/19,曇時々晴,10.9,2.4
2017/1/20,曇時々みぞれ一時雨,3.8,2.2
2017/1/21,快晴,11,1.2
2017/1/22,快晴,12.9,0.9
2017/1/23,晴一時曇,7.9,0.2
2017/1/24,晴,7.7,-1.9
2017/1/25,快晴,9.5,-1.2
2017/1/26,快晴,10.7,-1.4
2017/1/27,曇後晴,16,1.4
2017/1/28,晴,13.6,4.6
2017/1/29,曇後一時晴,12,4.8
2017/1/30,晴,19.5,6.7
2017/1/31,快晴,10,2.8
2017/2/1,晴時々曇,10.6,2.2
2017/2/2,快晴,9.7,0.9
2017/2/3,快晴,13.7,1
2017/2/4,快晴,13.4,4.4
2017/2/5,曇時々雨一時晴,9.9,3.4
2017/2/6,晴時々曇,15.7,3.3
2017/2/7,晴後一時薄曇,10,2.2
2017/2/8,晴後時々薄曇,11,1.9
2017/2/9,みぞれ時々雨,5.4,1
2017/2/10,曇時々晴一時雪,9.3,1.5
2017/2/11,晴後時々曇,10.1,-1.6
2017/2/12,快晴,11.2,-0.4
2017/2/13,晴,11.8,1
2017/2/14,晴後一時曇,11.8,2.1
2017/2/15,快晴,12.8,1.2
2017/2/16,快晴,13.7,1.3
2017/2/17,晴,20.6,4.8
2017/2/18,曇,10.7,6.4
2017/2/19,晴,11.5,1.6
2017/2/20,晴後雨一時曇,19.7,1.8
2017/2/21,晴,9.9,3.6
2017/2/22,曇一時晴,10.6,1.1
2017/2/23,雨後曇,16.3,8.4
2017/2/24,曇時々晴,11.3,5.2
2017/2/25,晴一時曇,12.7,3.5
2017/2/26,晴後薄曇,14.2,3.3
2017/2/27,曇後時々晴,9.7,4.3
2017/2/28,晴一時曇,10.1,3.2
2017/3/1,曇一時晴,11.1,1.4
2017/3/2,曇後雨,8.7,5.4
2017/3/3,晴後一時曇,16,3.7
2017/3/4,薄曇時々晴,14.6,3
2017/3/5,晴後薄曇,15.9,4.9
2017/3/6,曇時々雨,11.5,7.6
2017/3/7,曇時々晴一時雨,10.9,2.3
2017/3/8,晴一時曇,11.8,0
2017/3/9,快晴,13,1.3
2017/3/10,晴,14.8,3.2
2017/3/11,晴,13.2,4.3
2017/3/12,薄曇後一時晴,12.2,3.1
2017/3/13,曇,12.8,6
2017/3/14,雨時々曇,11,6.4
2017/3/15,曇時々雨,7.5,4
2017/3/16,晴後一時曇,15.5,1.9
